"","x"
"7",137
"19",147
"92",141
"177",144
"236",138
"338",133
"347",137
"386",137
"421",137
"524",145
"748",139
"794",143
"797",143
"833",136
"871",146
"901",137
"912",128
"957",142
"964",143
"983",147
"1032",146
"1044",146
"1065",128
"1080",146
"1110",137
"1177",139
"1182",146
"1217",136
"1232",154
"1236",145
"1244",136
"1281",148
"1313",136
"1321",135
"1357",145
"1402",141
"1417",146
"1422",146
"1446",146
"1498",140
"1529",149
"1531",140
"1643",131
"1655",128
"1676",134
"1696",135
"1747",143
"1768",144
"1774",141
"1885",138
"1899",138
"1974",138
"2025",146
"2135",137
"2141",135
"2153",149
"2169",143
"2288",137
"2301",137
"2308",137
"2330",138
"2353",140
"2358",137
"2399",148
"2424",142
"2438",138
"2444",136
"2475",146
"2485",135
"2489",147
"2507",139
"2508",139
"2534",146
"2536",139
"2573",148
"2574",144
"2606",133
"2626",128
"2644",145
"2683",143
"2698",146
"2759",133
"2802",147
"2810",138
"2991",149
"3050",133
"3070",140
"3165",129
"3170",139
"3176",126
"3213",129
"3218",139
"3220",130
"3256",132
"3267",135
"3299",137
"3366",130
"3402",131
"3406",143
"3414",138
"3437",137
"3442",132
"3463",132
"3645",136
"3665",137
"3696",139
"3753",136
"3804",137
"3896",137
"3912",143
"3942",142
"3970",145
"3975",136
"3991",140
"4036",139
"4055",143
"4067",133
"4105",143
"4111",137
"4187",148
"4194",150
"4207",133
"4300",147
"4324",140
"4343",143
"4477",138
"4487",145
"4492",136
"4525",146
"4645",146
"4664",144
"4670",145
"4698",143
"4702",147
"4712",142
"4784",137
"4796",147
"4838",143
"4874",138
"4901",137
"4947",143
"5088",136
"5096",131
"5102",134
"5115",128
"5116",133
"5120",136
"5166",135
"5167",137
"5260",129
"5293",138
"5308",137
"5399",136
"5401",137
"5421",138
"5438",140
"5501",138
"5536",150
"5552",146
"5558",143
"5773",147
"5821",137
"5897",143
"6027",133
"6086",140
"6308",150
"6318",149
"6529",130
"6740",149
"6843",135
"6846",143
"6922",138
"7085",137
"7117",141
"7166",135
"7279",147
"7490",147
"7585",146
"7848",139
"7965",146
"7968",143
"7973",146
"7988",143
"8011",146
"8048",145
"8058",147
"8073",139
"8079",143
"8097",142
"8165",135
"8194",133
"8197",133
"8233",129
"8254",143
"8276",148
"8280",150
"8287",144
"9024",144
"9077",150
"9087",148
"13210",137
"13282",142
"13286",144
"13310",140
"13436",140
"13481",137
"13500",151
"13502",134
"13781",127
"13799",134
"13800",137
"13811",138
"13812",137
"13861",143
"14011",137
"15652",147
"15658",148
"15710",150
"15954",138
"20276",145
"20384",141
"23902",140
"23909",138
"23923",138
"23937",133
"23944",145
"23950",137
"23974",142
"23995",143
"24058",142
"24066",148
"24089",144
"24108",145
"24185",135
"24193",136
"24196",146
"24210",151
